ID,Sensor_ID,Position_x,Position_y,MAC_Address,Temperature,Humidity,Battery_Level,Date,Time
1,S1,1,1,46:a6:50:dd:9f:4a,24,25,85,08/01/2021,20:15
2,S2,1,2,46:a6:50:dd:9f:4a,24,24,91,08/01/2021,20:15
3,S3,1,3,46:a6:50:dd:9f:4a,24,21,94,08/01/2021,20:15
4,S4,1,4,46:a6:50:dd:9f:4a,26,23,85,08/01/2021,20:15
5,S5,1,5,46:a6:50:dd:9f:4a,26,36,88,08/01/2021,20:15
6,S6,2,1,46:a6:50:dd:9f:4a,28,35,94,08/01/2021,20:15
7,S7,2,2,46:a6:50:dd:9f:4a,27,21,85,08/01/2021,20:15
8,S8,2,3,46:a6:50:dd:9f:4a,27,29,80,08/01/2021,20:15
9,S9,2,4,46:a6:50:dd:9f:4a,26,23,98,08/01/2021,20:16
10,S10,2,5,46:a6:50:dd:9f:4a,24,29,93,08/01/2021,20:16
11,S11,3,1,46:a6:50:dd:9f:4a,22,33,98,08/01/2021,20:16
12,S12,3,2,46:a6:50:dd:9f:4a,23,34,86,08/01/2021,20:16
13,S13,3,3,46:a6:50:dd:9f:4a,26,28,93,08/01/2021,20:16
14,S14,3,4,46:a6:50:dd:9f:4a,24,23,85,08/01/2021,20:16
15,S15,3,5,46:a6:50:dd:9f:4a,26,26,82,08/01/2021,20:16
16,S16,4,1,46:a6:50:dd:9f:4a,23,35,86,08/01/2021,20:16
17,S17,4,2,46:a6:50:dd:9f:4a,24,18,94,08/01/2021,20:17
18,S18,4,3,46:a6:50:dd:9f:4a,31,21,98,08/01/2021,20:17
19,S19,4,4,46:a6:50:dd:9f:4a,25,29,82,08/01/2021,20:17
20,S20,4,5,46:a6:50:dd:9f:4a,25,31,81,08/01/2021,20:17
21,S21,5,1,46:a6:50:dd:9f:4a,25,30,84,08/01/2021,20:17
22,S22,5,2,46:a6:50:dd:9f:4a,25,35,96,08/01/2021,20:17
23,S23,5,3,46:a6:50:dd:9f:4a,30,26,90,08/01/2021,20:17
24,S24,5,4,46:a6:50:dd:9f:4a,26,21,86,08/01/2021,20:17
25,S25,5,5,46:a6:50:dd:9f:4a,26,18,87,08/01/2021,20:17
26,S26,6,1,46:a6:50:dd:9f:4a,25,28,80,08/01/2021,20:18
27,S27,6,2,46:a6:50:dd:9f:4a,25,31,89,08/01/2021,20:18
28,S28,6,3,46:a6:50:dd:9f:4a,31,33,87,08/01/2021,20:18
29,S29,6,4,46:a6:50:dd:9f:4a,25,27,98,08/01/2021,20:18
30,S30,6,5,46:a6:50:dd:9f:4a,25,29,98,08/01/2021,20:18
31,S31,7,1,46:a6:50:dd:9f:4a,27,29,94,08/01/2021,20:18
32,S32,7,2,46:a6:50:dd:9f:4a,27,26,87,08/01/2021,20:18
33,S33,7,3,46:a6:50:dd:9f:4a,23,27,86,08/01/2021,20:18
34,S34,7,4,46:a6:50:dd:9f:4a,25,34,100,08/01/2021,20:19
35,S35,7,5,46:a6:50:dd:9f:4a,25,36,98,08/01/2021,20:19
