ID,	Sensor_ID,	Position_x,	Position_y,	MAC_Address,	Temperature,	Humidity,	Battery_Level,	Date,	Time
1	S1	1	1	46:a6:50:dd:9f:4a	24	35	88	10/01/2021	20:15
2	S2	1	2	46:a6:50:dd:9f:4a	24	29	98	10/01/2021	20:15
3	S3	1	3	46:a6:50:dd:9f:4a	24	35	90	10/01/2021	20:15
4	S4	1	4	46:a6:50:dd:9f:4a	26	36	91	10/01/2021	20:15
5	S5	1	5	46:a6:50:dd:9f:4a	26	37	88	10/01/2021	20:15
6	S6	2	1	46:a6:50:dd:9f:4a	28	26	81	10/01/2021	20:15
7	S7	2	2	46:a6:50:dd:9f:4a	27	37	80	10/01/2021	20:15
8	S8	2	3	46:a6:50:dd:9f:4a	27	36	95	10/01/2021	20:15
9	S9	2	4	46:a6:50:dd:9f:4a	26	28	89	10/01/2021	20:16
10	S10	2	5	46:a6:50:dd:9f:4a	24	25	92	10/01/2021	20:16
11	S11	3	1	46:a6:50:dd:9f:4a	22	21	91	10/01/2021	20:16
12	S12	3	2	46:a6:50:dd:9f:4a	23	32	93	10/01/2021	20:16
13	S13	3	3	46:a6:50:dd:9f:4a	26	32	93	10/01/2021	20:16
14	S14	3	4	46:a6:50:dd:9f:4a	24	22	87	10/01/2021	20:16
15	S15	3	5	46:a6:50:dd:9f:4a	26	27	84	10/01/2021	20:16
16	S16	4	1	46:a6:50:dd:9f:4a	23	21	88	10/01/2021	20:16
17	S17	4	2	46:a6:50:dd:9f:4a	24	19	94	10/01/2021	20:17
18	S18	4	3	46:a6:50:dd:9f:4a	31	27	80	10/01/2021	20:17
19	S19	4	4	46:a6:50:dd:9f:4a	25	21	90	10/01/2021	20:17
20	S20	4	5	46:a6:50:dd:9f:4a	25	28	100	10/01/2021	20:17
21	S21	5	1	46:a6:50:dd:9f:4a	25	25	85	10/01/2021	20:17
22	S22	5	2	46:a6:50:dd:9f:4a	25	35	85	10/01/2021	20:17
23	S23	5	3	46:a6:50:dd:9f:4a	30	31	98	10/01/2021	20:17
24	S24	5	4	46:a6:50:dd:9f:4a	26	32	99	10/01/2021	20:17
25	S25	5	5	46:a6:50:dd:9f:4a	26	25	88	10/01/2021	20:17
26	S26	6	1	46:a6:50:dd:9f:4a	25	18	92	10/01/2021	20:18
27	S27	6	2	46:a6:50:dd:9f:4a	25	35	97	10/01/2021	20:18
28	S28	6	3	46:a6:50:dd:9f:4a	31	21	83	10/01/2021	20:18
29	S29	6	4	46:a6:50:dd:9f:4a	25	20	83	10/01/2021	20:18
30	S30	6	5	46:a6:50:dd:9f:4a	25	26	98	10/01/2021	20:18
31	S31	7	1	46:a6:50:dd:9f:4a	27	29	92	10/01/2021	20:18
32	S32	7	2	46:a6:50:dd:9f:4a	27	37	96	10/01/2021	20:18
33	S33	7	3	46:a6:50:dd:9f:4a	23	33	96	10/01/2021	20:18
34	S34	7	4	46:a6:50:dd:9f:4a	25	18	91	10/01/2021	20:19
35	S35	7	5	46:a6:50:dd:9f:4a	25	19	80	10/01/2021	20:19
